ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort,,,,,,,,,,,,,,,,
57377,Audio,Hylopezus perspicillatus lizanoi,Streak-chested Antpitta (Pacific Slope),,,"Ross, Jr., David L",1989,1,5,620,Costa Rica,Puntarenas,,Corcovado National Park, Sirena Field Station,8.48025,-83.5893389,,Unknown Age Unknown Sex (2),counter singing, song,Natural,Not Provided,,,,3,0,280,MARANTZ PMD 221,Sennheiser ME 20,,Mono,,,,Rainforest, Evergreen Forest,,,"General Climate: Wet;  Cover Den: sparse)    The year given in the voice announcement is incorrect.    ML: Locality changed from OTS Finca La Selva (Heredia) to Corcovado National Park (Puntarenas) to correct a data entry error. -Brad Walker, 11 Dec 2015.",,,Aves,Passeriformes,Grallariidae,67540,,,,,,,,,,,,,
57375,Audio,Hylopezus perspicillatus lizanoi,Streak-chested Antpitta (Pacific Slope),,,"Ross, Jr., David L",1989,1,4,626,Costa Rica,Puntarenas,,Corcovado National Park, Sirena Field Station,8.48025,-83.5893389,,Unknown Age Unknown Sex (2),counter singing, song,Natural,Not Provided,Sight,,,3,0,809,MARANTZ PMD 221,Sennheiser ME 20,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,,"General Climate: Wet  Cover Den: Sparse    ML: Locality changed from OTS Finca La Selva (Heredia) to Corcovado National Park (Puntarenas) to correct a data entry error. -Matt Medler, 10 Dec 2015.",,,Aves,Passeriformes,Grallariidae,67540,,,,,,,,,,,,,
57376,Audio,Hylopezus perspicillatus lizanoi,Streak-chested Antpitta (Pacific Slope),,,"Ross, Jr., David L",1989,1,4,700,Costa Rica,Puntarenas,,Corcovado National Park, Sirena Field Station,8.48025,-83.5893389,,Unknown Age Unknown Sex (2),call, counter singing,Natural,Not Provided,,,,2,0,79,MARANTZ PMD 221,Sennheiser ME 20,,Mono,,,,Rainforest, Evergreen Forest,,,NOTES: (General Climate: Wet,  Cover Den: sparse),,,Aves,Passeriformes,Grallariidae,67540,,,,,,,,,,,,
48171,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Isler, Morton L",1987,9,13,630,Peru,Madre de Dios,,Tambopata Nature Preserve,-12.6666667,-69.25,260,,song,Playback Self,Certain,Sound,,,4,0,104,SONY TC-D5M,Sennheiser ME 88,,Mono,,,,River,,, NOTES: (General Climate: Humid. General Habitat: River edge forest. Cover Density: Thick.), Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,,
48111,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,,,"Isler, Morton L",1989,11,3,650,Brazil,Mato Grosso,,25.0 km N of Alta Floresta,,,,Adult Unknown Sex (1),song,Playback Self,Certain,Sight,,,3,0,208,SONY TC-D5M,Electro-Voice RE45N/D,,Mono,,,,Rainforest,,,"<p>NOTES: (Range Status: Range Extension. Cover Density: Medium.) This is presumably the subspecies paraensis which sounds quite different from the nominate race and may be specifically distinct. Recorded simultaneously by P. Isler, cut [not specified - AF].</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>", Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,,,,,,
48109,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Isler, Morton L",1989,11,2,700,Brazil,Mato Grosso,,25.0 km N of Alta Floresta,,,,Adult Unknown Sex (1),emit alarm, song,Playback Self,Certain,Sight,,,3,0,50,SONY TC-D5M,Electro-Voice RE45N/D,,Mono,,,,Rainforest,,, NOTES: (Cover Density: Thick.) Mixed bamboos and tall trees., Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,
48138,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,,,"Isler, Morton L",1989,11,7,605,Brazil,Mato Grosso,,25.0 km N of Alta Floresta,,,,Unknown Age Unknown Sex (1),song,Natural,Certain,Sound,,,2,0,36,SONY TC-D5M,Electro-Voice RE45N/D,,Mono,,,,Rainforest,,,"<p>NOTES: (Cover Density: Medium.) This is a third (different) individual. Race is presumably paraensis.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>",,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,,,,,,
48068,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,,,"Isler, Phyllis R",1989,11,3,0,Brazil,Mato Grosso,,20.0 km N of Alta Floresta,,,,,song,Playback Self,Certain,Sight,,,2,0,370,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Rainforest,,,"<p>NOTES: (Gen. Climate: Humid.)</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>",,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,,,,,,
48059,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Isler, Phyllis R",1989,11,2,0,Brazil,Mato Grosso,,40.0 km S of Alta Floresta,,,,Adult Male (1),song,Natural, Playback Self,Certain,Sight,,,2,0,284,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,Rainforest,,Edge," NOTES: (Gen. Climate: Humid.) Recordist's tape #19b, cut #2034.",,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,
48137,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,,,"Isler, Morton L",1989,11,7,600,Brazil,Mato Grosso,,25.0 km N of Alta Floresta,,,,Unknown Age Unknown Sex (1),song,Natural,Certain,Sound,,,1,0,57,SONY TC-D5M,Electro-Voice RE45N/D,,Mono,,,,Rainforest,,,"<p>NOTES: (Cover Density: Medium.) These is a different individual than the one recorded at close range on 3 Nov. (#48111). Presumably race is paraensis. Recorded from the edge of a road being cut through the forest.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>",,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,,,,,,
48054,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Isler, Phyllis R",1989,11,2,0,Brazil,Mato Grosso,,40.0 km S of Alta Floresta,,,,,song,Natural,Certain,Sound,,,1,0,49,SONY TCM-5000,Sennheiser ME 80,,Mono,,,,,,, NOTES: (Gen. Climate: Humid.),,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,,
31149,Audio,Hylopezus dives,Thicket Antpitta,,,"Davis, Thomas H",1983,3,5,0,Panama,Darién,,Cana,,,600,Adult Unknown Sex (1),call,Playback Same Species,Certain,Sight,,,4,0,189,UHER CR 240,Sennheiser ME 88,,Mono,,,,Rainforest,,,"NOTES: (Sex: male?;  Species Sound: Frequent;  General Climate:  Cyclic wet-dry;  Season: Dry;  Cover Den: thick;  Copy Recorder: ATR700 2trk;  Filtering: no)  LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,,
31192,Audio,Hylopezus dives,Thicket Antpitta,,,"Davis, Thomas H",1983,3,9,1650,Panama,Darién,,Cana,,,600,Unknown Age Unknown Sex (1),call, scold,Natural,Uncertain,Sound,,,3,0,69,UHER CR 240,Sennheiser ME 88,,Mono,,,,Rainforest,,Thicket/Brush,"NOTES: (Species Sound: frequent;  General Climate:  Cyclic wet-dry;  Season: Dry;  Cover Den: thick;  Copy Recorder: ATR700 2trk;  Filtering: no)  LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.",,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,
31148,Audio,Hylopezus dives,Thicket Antpitta,,,"Davis, Thomas H",1983,3,5,800,Panama,Darién,,Cana,,,600,Adult Unknown Sex (1),call,Natural, Playback Self,Certain,Sight,,,3,0,328,UHER CR 240,Sennheiser ME 88,,Mono,,,,Rainforest,,,"NOTES: (Sex: male?;  Species Sound: Frequent;  General Climate:  Cyclic wet-dry;  Season: Dry;  Cover Den: thick;  Copy Recorder: ATR700 2trk;  Filtering: no)  Used mic inputs (20db attenuation) on first half (before break) of copy.  LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.",,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,
31133,Audio,Hylopezus perspicillatus,Streak-chested Antpitta,,,"Davis, Thomas H",1983,3,2,1030,Panama,Panamá,,Pipeline Rd., Canal Zone,,,20,Adult Unknown Sex (1),song,Playback Same Species,Certain,Sight,,,3,0,388,UHER CR 240,Sennheiser ME 88,,Mono,,,,Rainforest,,,"NOTES: (Backgrnd: passing planes, mike cable interference;  Sex: male?;  Species Sound: Frequent;   General Climate:  Cyclic wet-dry;  Season: Dry;  Cover Den: thick;  Copy Recorder: ATR700 2trk;  Filtering: no)", Response to playback: Different song.,,Aves,Passeriformes,Grallariidae,67510,,,,,,,,,,,,,,,
30907,Audio,Hylopezus fulviventris,White-lored Antpitta,,,"Parker, III, Theodore A",1983,6,14,1545,Peru,Loreto,,N bank Río Napo, Shansho Caño,-3.25,-72.92,250,Adult Unknown Sex (1),advertise, song,Playback Self,Certain,Sight,,,3,0,371,NAGRA IV-B,Electro-Voice DL42,,Mono,,,,Rainforest, River, Riparian,,Edge, NOTES: (Breeding Status: Territorial. Special Song Type: Duet? Gen. Climate: Humid.) Amazonian fulviventris = berlepschi    Subject changed from Hylopezus berlepschi to H. fulviventris based on the recommendation of Alex Lees. -Jay McGowan 2Nov2015., Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,
31086,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Davis, Thomas H",1982,11,11,0,Suriname,,,Brownsberg,,,480,Adult Male (1),advertise, song,Natural,Certain,Sound,,,2,0,147,UHER CR 240,Sennheiser ME 88,,Mono,,,,Forest,,,NOTES: (Species Sound: frequent,  General Climate:  Cyclic wet-dry,  Season: Dry,  Cover Den: med,  Strata: surface?,  Copy Recorder: ATR700 2trk,  Filtering: no)  Used mic inputs (20db attenuation) for copy., Response to playback: No response.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,
30051,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Parker, III, Theodore A",1982,9,26,900,Peru,Cuzco [Cusco],,2.0 km W of Pilcopata,-13.13,-71.17,,Adult Unknown Sex (1),advertise,Natural, Playback Self,Certain,Sight,,,4,0,186,NAGRA IV-B,Electro-Voice DL42,,Mono,,,,Rainforest,,Second-growth, NOTES: (Breeding Status: Territorial. Gen. Climate: Humid. Cover Density: Thick.), Response to playback: No response.,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,
19292,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Belton, William ",1975,11,30,0,Brazil,Rio Grande do Sul,,15.0 km São Francisco de Paula, Fazenda Zamoreira,-29.3333333,-50.6666667,840,Adult Male (1),song,Natural, Playback Self,Certain,Sound,,,4,0,98,UHER UNSPECIFIED MODEL,,Parabola 61cm/15cm (24in/6in),Mono,,,,Forest, Evergreen Forest, Coniferous Forest, Deciduous Forest,,,"NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; Frequency of sound: NORMAL;  General climate: HUMID;  Cover density: THICK;   LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,
19242,Audio,Hylopezus nattereri,Speckle-breasted Antpitta,,,"Belton, William ",1971,11,20,0,Brazil,Rio Grande do Sul,,5.0 km SE of Canela, Morro Pelado,-29.3666667,-50.8166667,850,Adult Male (1),song,Natural,Certain,Sight and Sound,,,3,0,95,UHER UNSPECIFIED MODEL,Uher M516,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest, Evergreen Forest, Coniferous Forest, Deciduous Forest,,,"NOTES:  Range status: NORMAL;  Beh. context: UNKNOWN; Frequency of sound: NORMAL;  General climate: HUMID;  Cover density: THICK; SPECIMEN 447 IN BELTON COLLECTION.  LNS:  Subject changed from Hylopezus ochroleucus to H. nattereri to reflect current taxonomy. -Matt Medler, 17 January 2011.",,,Aves,Passeriformes,Grallariidae,67650,,,,,,,,,,,,
7096,Audio,Hylopezus perspicillatus lizanoi,Streak-chested Antpitta (Pacific Slope),,,"Davis, L. Irby ; Davis, Douglas ",1962,4,9,0,Costa Rica,,,7.0 km NW of CORREDOR,,,45,,,,Not Provided,Sound,,,4,0,137,NAGRA III,Electro-Voice 650,Parabola 101.6cm (40in),Mono,,,,Forest,,, NOTES:  General climate: HUMID, MORE OR LESS CUT OVER.,,,Aves,Passeriformes,Grallariidae,67540,,,,,,,,,,,,,,,
7094,Audio,Hylopezus perspicillatus lizanoi,Streak-chested Antpitta (Pacific Slope),Dendrocolaptes certhia -- Amazonian Barred-Woodcreeper, Troglodytidae sp. -- wren sp.,,"Davis, L. Irby ; Blankenship, David ",1960,3,27,0,Costa Rica,,,8.0 km N of CORREDOR,,,120,,,,Not Provided,,,,2,0,30,MAGNEMITE 610EVX,Electro-Voice 650,Parabola 71.1cm (28in),Mono,,,,Rainforest,,, NOTES: PARTIALLY CLEARED.,,,Aves,Passeriformes,Grallariidae,67540,,,,,,,,,,,,,,,
7095,Audio,Hylopezus perspicillatus lizanoi,Streak-chested Antpitta (Pacific Slope),Amazona farinosa -- Mealy Parrot, Formicarius analis -- Black-faced Antthrush, Geotrygon montana -- Ruddy Quail-Dove, Habia atrimaxillaris -- Black-cheeked Ant-Tanager, Momotus lessonii -- Lesson's Motmot, Xiphorhynchus guttatus -- Buff-throated Woodcreeper,,"Davis, L. Irby ; Davis, Douglas ",1962,4,8,0,Costa Rica,,,7.0 km NW of CORREDOR,,,45,,,,Not Provided,Sound,,,1,0,208,NAGRA III,Electro-Voice 650,Parabola 101.6cm (40in),Mono,,,,Forest,,Second-growth, NOTES:  General climate: HUMID, SOMEWHAT DISTANT 'FOR THE DEAR-DEAR-DEAR-DEAR'.,,,Aves,Passeriformes,Grallariidae,67540,,,,,,,,,,
7093,Audio,Hylopezus dives,Thicket Antpitta,,,"Davis, L. Irby ; Davis, Douglas ",1962,3,28,600,Costa Rica,,,44.0 km NE of TURRIALBA,,,500,,,,Not Provided,Sound,,,1,0,73,NAGRA UNSPECIFIED MODEL,Electro-Voice 650,Parabola 101.6cm (40in),Mono,,,,Forest,,," NOTES:  General climate: HUMID; WIDELY SPACED PHRASES OF WHISTLED SYLLABLES. LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.",,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,,,
184121,Audio,Hylopezus dives,Thicket Antpitta,Patagioenas nigrirostris -- Short-billed Pigeon, Pionus senilis -- White-crowned Parrot, Dumetella carolinensis -- Gray Catbird, Pheugopedius atrogularis -- Black-throated Wren, Henicorhina leucosticta -- White-breasted Wood-Wren, Arremon aurantiirostris -- Orange-billed Sparrow, Cercomacroides tyrannina -- Dusky Antbird, Cymbilaimus lineatus -- Fasciated Antshrike, Crypturellus boucardi -- Slaty-breasted Tinamou,,"Marantz, Curtis A",1995,4,9,730,Costa Rica,Heredia,,"S of La Selva Biological Station; Sendero Holdridge, at edge of successional plots",10.4288,-84.0128,,Adult Male (2),advertise, song,Natural,Certain,Sight and Sound,,,3,0,411,NAGRA IV-D,Sennheiser MKH 106T,Parabola (Unknown Diameter/Focal Length),Mono,,,,,,,"General Climate: Humid, Cyclic Wet-Dry.    Environmental Zone: Tropical.    Season: Spring, Dry.    General Habitat: Rainforest.    Habitat Types: Undergrowth, Scrub.    Cover Density: Thick.    Strata in Habitat: Low.    Water Association: None.    Weather: Clear.      In successional plots (2-3 years old)",,,Aves,Passeriformes,Grallariidae,67610,,,,,,,
182596,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Davis, Thomas H",1979,2,8,940,Suriname,Brokopondo,,Brownsberg Nature Park,5.0166667,-55.5666667,120,Adult Male (1),song,Natural,Certain,Sight,,,3,0,110,UHER CR 240,,Dan Gibson Parabola 45.7cm/11cm (18in/4.3in),Mono,,,,Forest,,,,,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,,,,
181244,Audio,Hylopezus ochroleucus,White-browed Antpitta,,,"Roesler, Ignacio ",2003,1,13,1045,Brazil,Minas Gerais,,Parque Nacional Cavernas do Peruaçu,-15.502813,-44.361359,450,Adult Unknown Sex (1),song,Playback Same Species,Certain,Sight and Sound,,,3,0,120,SONY TCM-5000,Sennheiser ME 66,,Mono,,,,,,,,,,Aves,Passeriformes,Grallariidae,67640,,,,,,,,,,,,,,,,
168773,Audio,Hylopezus perspicillatus,Streak-chested Antpitta,,,"Olmstead, Scott T",2008,11,28,647,Ecuador,Esmeraldas,,Playa de Oro,0.8426553,-78.75266,60,Adult Unknown Sex (1),call, emit alarm,Natural,Certain,Sight,,,3,0,62,EDIROL R-09,Sennheiser ME 66,,Mono,,,,Rainforest,,,The Sennheiser K6 low-cut filter was engaged during recording.    Call given after the recordist surprised the bird and it flushed off the path.,,,Aves,Passeriformes,Grallariidae,67510,,,,,,,,,,,,,,,
168772,Audio,Hylopezus perspicillatus,Streak-chested Antpitta,,,"Olmstead, Scott T",2008,11,24,822,Ecuador,Esmeraldas,,Playa de oro,0.8426553,-78.75266,100,Adult Unknown Sex (1),song,Human,Certain,Sight,,,2,0,102,EDIROL R-09,Sennheiser ME 66,,Mono,,,,Rainforest,,,The Sennheiser K6 low-cut filter was engaged during recording.    After human whistled imitation. Song delivered from a fallen log in old growth rainforest.,Response to Imitation: Re-orientation and Normal Sound,,Aves,Passeriformes,Grallariidae,67510,,,,,,,,,,,,,,,,
166860,Audio,Hylopezus fulviventris,White-lored Antpitta,,,"Ross, Jr., David L",1996,5,7,700,Costa Rica,Heredia,,Rara Avis,10.28173,-84.04489,,Unknown Age Unknown Sex (1),,,Certain,Sound,,,3,0,54,MARANTZ PMD 700,,,Mono,,,,,,,,"Response to playback, source unknown.",,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,,,,,
165674,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Harvey, Michael G",2011,6,22,745,Peru,Ucayali,,Puntijao,-10.41,-73.95,,Unknown Age Unknown Sex (1),song,Playback Same Species,Uncertain,Sight and Sound,,LSUMNS B-75738,3,0,204,MARANTZ PMD 661,Sennheiser MKH 70,,Mono,,,,,,,floodplain forest,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,,
165585,Audio,Hylopezus fulviventris,White-lored Antpitta,,,"Batcheller, Hope J",2011,1,14,1113,Ecuador,Napo,,E of Archidona, El Para.,-0.951768,-77.732875,765,,song,Playback Same Species,Certain,Sound,,,2,0,53,MARANTZ PMD 660,Sennheiser ME 67,,Mono,,,,Rainforest,,,,,,Aves,Passeriformes,Grallariidae,67620,,,,,,,,,,,,,,,
163871,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Lane, Daniel F",2001,10,16,1615,Peru,Madre de Dios,,Manu Wildlife Center,-12.3525,-70.7097222,317,,song,Natural,Certain,,,,3,0,77,SONY TCM-5000,Sennheiser ME 66,,Mono,,,,,,,,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,,,
136621,Audio,Hylopezus berlepschi,Amazonian Antpitta,Conioptilon mcilhennyi -- Black-faced Cotinga, Hemitriccus flammulatus -- Flammulated Pygmy-Tyrant,,"Barry, Jessie H",2007,6,23,1645,Peru,Madre de Dios,,CICRA, Los Amigos field station,-12.5666667,-70.1,250,,song,Playback Same Species,Certain,Sound,,,3,0,201,FOSTEX FR-2LE,Sennheiser MKH 60,,Mono,,,,Rainforest, Evergreen Forest,,,, Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,
135209,Audio,Hylopezus berlepschi,Amazonian Antpitta,Cacicus cela -- Yellow-rumped Cacique, Trogon curucui -- Blue-crowned Trogon,,"O'Shea, Brian J",2001,9,30,0,Peru,Madre de Dios,,13.0 km NW of Atalaya on Rio Alto Madre de Dios,-12.78,-71.38,480,Adult Unknown Sex (1),advertise, song,Natural,Certain,Sound,,,3,0,88,SONY TC-D5 PRO II,Sennheiser ME 66,,Mono,,,,Rainforest,,Second-growth,,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,,
132761,Audio,Hylopezus auricularis,Masked Antpitta,,,"Hosner, Peter A",2006,9,27,800,Bolivia,El Beni,,"Hamburgo, Riberalta",-11.0151667,-66.0925,150,Adult Male (1),song,Playback Same Species,Certain,Sight and Sound,,,3,0,189,MARANTZ PMD 660,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Forest, Rainforest, Evergreen Forest,,Second-growth, Edge,,,,Aves,Passeriformes,Grallariidae,67600,,,,,,,,,,,,,
132287,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Andersen, Michael J",2004,10,18,556,Peru,Madre de Dios,,6.0 km W of Iberia at Oceania,-11.3919444,-69.5374444,250,Adult Male (1),advertise, song,Natural,Certain,Sight and Sound,,,3,0,170,SONY PCM-M1,Sennheiser ME 67,,Mono,,,,Forest, Rainforest, Evergreen Forest,,,,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,
132294,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Andersen, Michael J",2004,10,18,902,Peru,Madre de Dios,,6.0 km W of Iberia at Oceania,-11.3919444,-69.5374444,250,Adult Male (1),advertise, song,Natural, Playback Self,Certain,Sight and Sound,,,2,0,844,SONY PCM-M1,Sennheiser ME 67,,Mono,,,,Forest, Rainforest, Evergreen Forest,,," NOTES: First two songs are natural, after the first break (~0:50) all songs are in response to playback of the first cut.  I saw the bird as it crossed the trail where a thick patch of Heliconia was growing.  I saw it from 5m away; bird probably vocalizing from 10-12m, though unseen while vocalizing.", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,
132283,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Andersen, Michael J",2004,10,18,532,Peru,Madre de Dios,,6.0 km W of Iberia at Oceania,-11.3919444,-69.5374444,250,Adult Male (1),advertise, song,Natural,Certain,Sound,,,2,0,402,SONY PCM-M1,Sennheiser ME 67,,Mono,,,,Forest, Rainforest, Evergreen Forest,,,,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,
132272,Audio,Hylopezus berlepschi,Amazonian Antpitta,,,"Andersen, Michael J",2004,10,12,0,Peru,Madre de Dios,,6.0 km W of Iberia at Oceania,-11.3919444,-69.5374444,250,Adult Male (1),advertise, song,Natural,Certain,Sight and Sound,,,2,0,117,SONY PCM-M1,Sennheiser ME 67,,Mono,,,,Forest, Rainforest, Evergreen Forest,,, NOTES: Recorded in dense bamboo (Guadua sp.) thicket ,,,Aves,Passeriformes,Grallariidae,67630,,,,,,,,,,,,,
131123,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Pachysylvia muscicapina -- Buff-cheeked Greenlet, Ramphastos tucanus -- White-throated Toucan, Alouatta seniculus -- red howler monkey, Rupicola rupicola -- Guianan Cock-of-the-rock,,"Robbins, Mark B",1998,9,7,815,Guyana,Upper Takutu-Upper Essequibo,,"Acari Mountains, near border of Brazil",1.35,-58.95,325,Adult Female (1), Adult Male (1),advertise, song,Natural, Playback Self,Certain,Sight and Sound,,,3,0,148,SONY TC-D5 PRO II,Sennheiser ME 66,,Mono,,,,,,,,,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,
127440,Audio,Hylopezus paraensis,Snethlage's Antpitta,Hylopezus paraensis -- Snethlage's Antpitta, Jacamerops aureus -- Great Jacamar, Pionites leucogaster -- White-bellied Parrot, Psarocolius sp. -- oropendola sp., Sclerurus rufigularis -- Short-billed Leaftosser,,"Marantz, Curtis A",2000,10,4,1756,Brazil,Pará,,Floresta Nacional de Caxiuana, Estacao Cientifica Ferreira Penna,-1.7375,-51.4555556,,Adult Unknown Sex (1),advertise, dusk song, song,Playback Self,Certain,Sound,,,3,0,510,NAGRA 4.2,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: Unseen bird, same individual as in cuts #2000-12-11 &amp; 13 after limited playback of itself, was probably 10-12 meters away and 1 meter up in very dense undergrowth of good, terra firme forest along Trail K about 10 meters south of the intersection with the trail at 200 meters North; this was recorded some time after I played three songs back to the bird, in response to which the bird crossed the trail and seemed to approach, eventually giving songs similar to those heard before playback; a second bird was singing in the background; sun was down at this point; HHb filters off; generator rumble in background.</p>  <p class=""p1"">ML: Subject and background subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">paraensis</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67580,,,,,,,,
127439,Audio,Hylopezus paraensis,Snethlage's Antpitta,Alouatta belzebul -- red-handed howler monkey, Ara sp. -- large macaw sp., Guaruba guaruba -- Golden Parakeet, Phlegopsis nigromaculata -- Black-spotted Bare-eye, Pionites leucogaster -- White-bellied Parrot,,"Marantz, Curtis A",2000,10,4,1743,Brazil,Pará,,Floresta Nacional de Caxiuana, Estacao Cientifica Ferreira Penna,-1.7375,-51.4555556,,Adult Unknown Sex (1),advertise, dusk song, song,Playback Self,Certain,Sound,,,2,0,113,NAGRA 4.2,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: Unseen bird, same individual as in cut #2000-12-11 after limited playback of itself, was probably 10-15 meters away and 1 meter up in very dense undergrowth of good, terra firme forest near intersection of Trails L and 200 meters North; a second bird was singing in the background; sun still in trees; clear, calm, mid-80s generator rumble in background.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">paraensis</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>", Response to playback: Approach. Response to playback: Normal song.,,Aves,Passeriformes,Grallariidae,67580,,,,,,,,
