ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort,,,,,,,,,,,,,,,,
62473,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Schwartz, Paul A",1968,5,29,0,Venezuela,,,Rio Grande, ~ 2 km north of km 9.5, El Palmar,7.9666667,-61.8833333,250,,song,Natural, Playback Self,Not Provided,,,,2,0,171,NAGRA III,Electro-Voice 650,Parabola 91.4cm (36in),Mono,,,,,,," NOTES: Neotropical Institute Cut # 5. Bulk reel: 143 Weather: Fair. a) 5:50 AM. Natural song. Other birds in background. Quality: 1-2. Level: +10. b) 6:10 AM. After playback (but this is ~ 20' later; the bird is now closer, although it didn't come closer at the time of the playback). Quality: 1. Level: +7. ",,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,
62469,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Myrmothera campanisona -- Thrush-like Antpitta,,"Schwartz, Paul A",1966,7,3,1700,Venezuela,,,Rio Grande, km 10.5, El Palmar,7.9666667,-61.8833333,250,,song,Natural,Not Provided,,,,2,0,33,NAGRA III,Electro-Voice 650,Parabola 91.4cm (36in),Mono,,,,,,, NOTES: Neotropical Institute Cut # 1. Bulk reel: 142 Weather: Fair. Natural song. Myrmothera campanisona in background. Quality: 2. Level: +10.,,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,,
31469,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Bierregaard, Richard O",1983,11,26,1740,Brazil,Amazonas,,80.0 km N of Manaus,-2.4333333,-59.85,100,Unknown Age Unknown Sex (1),advertise, call,Natural, Playback Self,Certain,Sound,,,2,0,201,NAGRA III-B,Sennheiser ME 88,,Mono,,,,Rainforest, Evergreen Forest,,, NOTES: (Species Sound: infrequent, General Climate: cyclic wet-dry, Cover Density: medium), Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,
74397,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Pachyramphus marginatus -- Black-capped Becard,,"Stouffer, Philip C",1994,7,20,545,Brazil,Amazonas,,80.0 km N of Manaus,-2.5,-60.0,,Adult Unknown Sex (1),advertise, song,Natural,Certain,Sound,,,1,0,35,SONY TC-D5 PRO II,Sennheiser MKH 70,,Mono,,,,Rainforest, Evergreen Forest,,, NOTES: 240 H2 low cut filter used on copy. Same individual as LNS #74395. ,Same subject(s) as LNS 74395. ,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,,
74395,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),Dendrocolaptes certhia -- Amazonian Barred-Woodcreeper,,"Stouffer, Philip C",1994,7,20,545,Brazil,Amazonas,,80.0 km N of Manaus,-2.5,-60.0,,Unknown Age Unknown Sex (1),song,Natural,Certain,Sound,,,1,0,15,SONY TC-D5 PRO II,Sennheiser MKH 70,,Mono,,,,Rainforest, Evergreen Forest,,, NOTES: Same individual as LNS #74397. 240 H2 low cut filter used on copy.,Same subject(s) as LNS 74397. ,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,,,,,
52318,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,,,"Parker, III, Theodore A",1989,10,31,0,Brazil,Mato Grosso,,S of Rio Teles Pires,,,,,song,,Not Provided,,,,1,0,75,NAGRA 4.2,Electro-Voice DL42,,Mono,,,,,,,ML: Subject changed from Hylopezus macularius to H. whittakeri to reflect current taxonomy. -Jay McGowan 29Nov2014.,,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,,,,,,
22664,Audio,Hylopezus dives,Thicket Antpitta,Megarynchus pitangua -- Boat-billed Flycatcher, Oncostoma cinereigulare -- Northern Bentbill,,"Davis, L. Irby ; Blankenship, David ",1960,3,9,0,Costa Rica,,,100.0 km NE of TURRIALBA, RD TO SIQUIRRES,,,630,,,,Not Provided,,,,1,0,60,MAGNEMITE 610EVX,Electro-Voice 650,Parabola 76.2cm (30in),Mono,,,,Forest,,Second-growth," NOTES:  General climate: HUMID; IDENTIFICATION NOT 100%. LNS:  Subject changed from Hylopezus fulviventris to H. dives to reflect current taxonomy. -Matt Medler, 10 March 2010.",,,Aves,Passeriformes,Grallariidae,67610,,,,,,,,,,,,,,
90692,Audio,Hylopezus macularius macularius,Spotted Antpitta (Spotted),,,"Kerr, Donald J",1994,12,9,1100,Guyana,Upper Takutu-Upper Essequibo,,10.0 km S of Kanuku Mtns., Nappi Village,3.3,-59.5,400,Adult Male (1),advertise, song,Playback Same Species,Certain,Sight and Sound,,,0,0,111,MARANTZ PMD 222,Telinga Pro II, Sennheiser ME 88,,Mono,,,,Rainforest, Evergreen Forest, Deciduous Forest,,Thicket/Brush," NOTES: (Species Sound:  Frequent. Breeding Status:  Territorial. Behav. Context: Annoyance, no obvious response to playback; perhaps some approach. General Climate: Wet, humid. Cover Density: Open.) Tape counter 310-331.   We stalked this bird for some time, playing some tape occasionally. Finally had excellent view of male walking on the ground. The recording was made about 10 minutes after previous broadcasting of taped voice.", Response to playback: Orient. Response to playback: Approach.,,Aves,Passeriformes,Grallariidae,67560,,,,,,,,,,,
88592,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,Cercomacra cinerascens -- Gray Antbird, Lipaugus vociferans -- Screaming Piha, Ramphastos tucanus -- White-throated Toucan,,"Marantz, Curtis A",1997,10,26,744,Brazil,Mato Grosso,,"W of Rio Cristalino, Reserva Ecologica Cristalino",,,,Adult Unknown Sex (1),advertise, song,Natural,Certain,Sound,,,2,0,103,HHB PORTADAT PDR 1000,Sennheiser ME 64,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,Second-growth,"<p>NOTES: (Humid climate) (Dry season) (medium to thick cover) (HHb filters in cut position) (Trilha das Rochas, marker #57) (Isolated).</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>    ML: Background subject changed from recordist's original identification of Ramphastos tucanus cuvieri to Ramphastos tucanus to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.", Response to playback: No response.,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,,
88357,Audio,Hylopezus whittakeri,Alta Floresta Antpitta,Crypturellus strigulosus -- Brazilian Tinamou, Sciaphylax hemimelaena -- Chestnut-tailed Antbird, Cyanocompsa cyanoides -- Blue-black Grosbeak, Xiphorhynchus guttatus -- Buff-throated Woodcreeper,,"Marantz, Curtis A",1997,10,5,0,Brazil,Mato Grosso,,"W of Alta Floresta, Floresta Amazonica Hotel",,,,Adult Unknown Sex (1),advertise, song,Natural,Not Provided,Sound,,,2,0,65,HHB PORTADAT PDR 1000,Sennheiser ME 64,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Rainforest, Evergreen Forest,,,"<p>NOTES: (Humid climate) (Dry season) (Thick cover) (HHb filters in cut position)</p>  <p>ML: HPF@200Hz when digitized from field tape.</p>  <p class=""p1"">ML: Subject changed from&nbsp;<span class=""s1"">Hylopezus macularius</span>&nbsp;to H.&nbsp;<span class=""s1"">whittakeri</span>&nbsp;to reflect current taxonomy. -Jay McGowan 29Nov2014.</p>",,,Aves,Passeriformes,Grallariidae,67590,,,,,,,,,,,
